panel,u2,u3,T_star
CRRA,-0.921844,0.973171,2.10265
CRRA,-0.905812,0.966972,2.12232
CRRA,-0.88978,0.960528,2.1415
CRRA,-0.873747,0.953834,2.16017
CRRA,-0.857715,0.946889,2.17835
CRRA,-0.841683,0.93969,2.19601
CRRA,-0.825651,0.932236,2.21317
CRRA,-0.809619,0.924525,2.22981
CRRA,-0.793587,0.916557,2.24594
CRRA,-0.777555,0.908331,2.26155
CRRA,-0.761523,0.899848,2.27665
CRRA,-0.745491,0.891109,2.29124
CRRA,-0.729459,0.882115,2.30531
CRRA,-0.713427,0.872868,2.31888
CRRA,-0.697395,0.86337,2.33195
CRRA,-0.681363,0.853625,2.34452
CRRA,-0.665331,0.843636,2.35661
CRRA,-0.649299,0.833406,2.36821
CRRA,-0.633267,0.822939,2.37935
CRRA,-0.617234,0.812241,2.39001
CRRA,-0.601202,0.801315,2.40022
CRRA,-0.58517,0.790167,2.40999
CRRA,-0.569138,0.778802,2.41933
CRRA,-0.553106,0.767227,2.42824
CRRA,-0.537074,0.755446,2.43674
CRRA,-0.521042,0.743465,2.44485
CRRA,-0.50501,0.731291,2.45256
CRRA,-0.488978,0.718929,2.4599
CRRA,-0.472946,0.706387,2.46688
CRRA,-0.456914,0.693669,2.47351
CRRA,-0.440882,0.680783,2.4798
CRRA,-0.42485,0.667734,2.48577
CRRA,-0.408818,0.654529,2.49142
CRRA,-0.392786,0.641174,2.49678
CRRA,-0.376754,0.627674,2.50184
CRRA,-0.360721,0.614035,2.50663
CRRA,-0.344689,0.600264,2.51115
CRRA,-0.328657,0.586365,2.51542
CRRA,-0.312625,0.572345,2.51944
CRRA,-0.296593,0.558208,2.52323
CRRA,-0.280561,0.54396,2.5268
CRRA,-0.264529,0.529605,2.53015
CRRA,-0.248497,0.515148,2.5333
CRRA,-0.232465,0.500594,2.53626
CRRA,-0.216433,0.485947,2.53903
CRRA,-0.200401,0.471211,2.54162
CRRA,-0.184369,0.45639,2.54404
CRRA,-0.168337,0.441488,2.5463
CRRA,-0.152305,0.426509,2.54841
CRRA,-0.136273,0.411455,2.55036
CRRA,-0.12024,0.396329,2.55218
CRRA,-0.104208,0.381136,2.55386
CRRA,-0.0881764,0.365877,2.5554
CRRA,-0.0721443,0.350555,2.55682
CRRA,-0.0561122,0.335173,2.55812
CRRA,-0.0400802,0.319732,2.5593
CRRA,-0.0240481,0.304234,2.56037
CRRA,-0.00801603,0.288682,2.56133
CRRA,0.00801603,0.273077,2.56219
CRRA,0.0240481,0.25742,2.56294
