tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
4.599999999999966,4.599999999999966,4.599999999999966,3.0,3.0,3.0,NK,1,28.74,3.093e-03,3.093e-03,1.615907e-01,0.6203422013,0.62830927,0.63864462,0.62841531,-0.010335,0,warm
4.629999999999965,4.629999999999965,4.629999999999965,3.0,3.0,3.0,NK,1,23.94,1.172e-02,1.172e-02,1.822374e-01,0.6196135695,0.62764860,0.63887196,0.62886955,-0.011223,0,warm
4.649999999999965,4.649999999999965,4.649999999999965,3.0,3.0,3.0,NK,1,31.23,2.891e-03,2.891e-03,1.676142e-01,0.6195239425,0.62776876,0.63853047,0.62787103,-0.010762,1,warm
4.659999999999965,4.659999999999965,4.659999999999965,3.0,3.0,3.0,NK,1,29.89,2.728e-03,2.728e-03,1.335661e-01,0.6194976233,0.62776719,0.63858486,0.62787005,-0.010818,1,warm
4.679999999999964,4.679999999999964,4.679999999999964,3.0,3.0,3.0,NK,1,28.65,4.400e-02,4.400e-02,2.241290e-01,0.6549621447,0.67802227,0.69392852,0.68334322,-0.015906,0,warm
4.689999999999964,4.689999999999964,4.689999999999964,3.0,3.0,3.0,NK,1,30.27,2.576e-03,2.576e-03,1.528418e-01,0.6191769874,0.62758746,0.63863764,0.62768251,-0.011050,1,warm
4.699999999999964,4.699999999999964,4.699999999999964,3.0,3.0,3.0,NK,1,9.93,3.269e-01,3.269e-01,2.418988e-01,0.6191448686,0.62747245,0.63812388,0.62736389,-0.010651,0,warm
4.7099999999999635,4.7099999999999635,4.7099999999999635,3.0,3.0,3.0,NK,1,21.58,1.322e-01,1.322e-01,1.961443e-01,0.6162875712,0.62802996,0.63392450,0.62992109,-0.005895,0,warm
4.719999999999963,4.719999999999963,4.719999999999963,3.0,3.0,3.0,NK,1,27.54,4.840e-02,4.840e-02,1.904107e-01,0.6197994622,0.62831907,0.64031579,0.62841798,-0.011997,0,warm
4.729999999999963,4.729999999999963,4.729999999999963,3.0,3.0,3.0,NK,1,31.04,2.834e-03,2.834e-03,1.289982e-01,0.6189851197,0.62756806,0.63892257,0.62766394,-0.011355,1,warm
4.739999999999963,4.739999999999963,4.739999999999963,3.0,3.0,3.0,NK,1,29.78,6.184e-03,6.184e-03,1.746760e-01,0.6184873346,0.62715106,0.63852860,0.62725552,-0.011378,0,warm
4.749999999999963,4.749999999999963,4.749999999999963,3.0,3.0,3.0,NK,1,8.10,6.899e-02,6.899e-02,1.736587e-01,0.6188878671,0.62756740,0.63838448,0.62766411,-0.010817,0,warm
4.7599999999999625,4.7599999999999625,4.7599999999999625,3.0,3.0,3.0,NK,1,26.93,1.823e-02,1.823e-02,2.524288e-01,0.6150271189,0.62462951,0.63652527,0.62370643,-0.011896,0,warm
4.769999999999962,4.769999999999962,4.769999999999962,3.0,3.0,3.0,NK,1,8.91,7.278e-01,7.278e-01,2.680234e-01,0.6548430312,0.95485902,0.66326904,0.66759107,0.291590,0,warm
4.779999999999962,4.779999999999962,4.779999999999962,3.0,3.0,3.0,NK,1,30.42,3.270e-03,3.270e-03,1.673902e-01,0.6180332620,0.62692146,0.63853416,0.62697667,-0.011613,0,warm
